Object,Name,Has Logo,Has Description,Has Image,Has Products,Has Filter,Filter Works,Has Website,Website Works
partner,Spanien/Katalonien/Vinyes d'en Gabriel,True,True,True,True,True,True,True,True
partner,Spanien/Katalonien/Clos Maria Wines,True,True,True,True,True,True,True,True
partner,Spanien/Katalonien/Costers del Priorat,True,True,True,True,True,True,True,True
partner,Spanien/Katalonien/Perinet,True,True,True,True,True,True,True,True
partner,Spanien/Katalonien/Alvaro Palacios,True,True,True,True,True,True,True,True
partner,Spanien/Kastilien-León/Dominio de Pingus,True,True,True,True,True,True,True,True
partner,Spanien/Kastilien-León/Bodegas Pinea,False,True,True,True,True,True,True,True
partner,Spanien/La Rioja/Bodegas Remelluri by Telmo Rodriguez,True,True,True,True,True,True,False,False
partner,Schweiz/Zentralschweiz/Weingut zum Sternen,True,True,True,True,True,True,True,True
partner,Schweiz/Ostschweiz/Kellerei Rötiberg,True,True,True,True,True,True,True,True
partner,Schweiz/Westschweiz/Domaine Les Grand Clos,True,True,True,True,False,False,True,True
partner,Schweiz/Westschweiz/Hasler Weine,True,True,True,True,False,False,True,True
partner,Schweiz/Westschweiz/Maison Rouge,True,True,True,True,True,True,True,True
partner,Schweiz/Südschweiz/Cormano Vini,True,True,True,True,True,True,True,True
partner,Schweiz/Südschweiz/Vinattieri,True,True,True,True,False,False,True,True
partner,Schweiz/Südschweiz/MRK - Rainer Design,True,True,True,True,True,True,True,True
partner,Frankreich/Bordeaux/Pont des Arts,True,True,True,True,True,True,True,True
partner,Frankreich/Bordeaux/Château La Grezette,True,True,True,True,False,False,True,True
partner,Frankreich/Bordeaux/Château Cos d'Estournel,True,True,True,True,True,True,True,True
partner,Frankreich/Bordeaux/Château les Bertrands,True,True,True,True,True,True,True,True
partner,Frankreich/Bordeaux/Château Pichon Longueville Comtesse de Lalande,True,True,True,True,True,True,True,True
partner,Frankreich/Bordeaux/Château Lynch Bages,True,True,True,True,True,True,True,True
partner,Frankreich/Bordeaux/Château Branaire,True,True,True,True,False,False,True,True
partner,Frankreich/Bordeaux/Château de Pressac,True,True,True,True,True,True,True,True
partner,Frankreich/Bordeaux/Château Valandraud,True,True,True,True,True,True,True,True
partner,Frankreich/Bordeaux/Château La Confession,True,True,True,True,True,True,True,True
partner,Frankreich/Bordeaux/Château Pèby Faugères,True,True,True,True,True,True,True,False
partner,Frankreich/Bordeaux/Château Faugères,True,True,True,True,True,True,True,True
partner,Frankreich/Bordeaux/Château Rocheyron,True,True,True,True,True,True,True,True
partner,Frankreich/Bordeaux/Pont des Arts,True,True,True,True,True,True,True,True
partner,Frankreich/Bordeaux/Domaine de Chevalier,True,True,True,True,True,True,False,False
partner,Frankreich/Bordeaux/Château Les Hauts de Smith,True,True,True,True,False,False,True,True
partner,Frankreich/Bordeaux/Château de Francs,True,True,True,True,True,True,True,True
partner,Frankreich/Bordeaux/Château Lafaurie-Peyraguey,True,True,True,True,True,True,True,True
partner,Frankreich/Bordeaux/Château Cap de Faugères,True,True,True,True,True,True,True,True
partner,Frankreich/Südfrankreich/Mas Llossanes,True,True,True,True,True,False,True,True
partner,Frankreich/Südfrankreich/Guillaume Gonnet,True,True,True,True,True,False,True,True
partner,Frankreich/Südfrankreich/Guillaume Gonnet,True,True,True,True,True,False,True,True
partner,Frankreich/Südfrankreich/Guillaume Gonnet,True,True,True,True,True,False,True,True
partner,Frankreich/Südfrankreich/Maison Saint AIX,True,True,True,True,True,False,True,True
partner,Frankreich/Südfrankreich/Chêne Bleu,True,True,True,True,True,False,True,True
partner,Frankreich/Burgund/Pont des Arts,True,True,True,True,True,False,True,True
partner,Frankreich/Champagne/Deutz,True,True,True,True,False,False,True,True
partner,Frankreich/Champagne/Pont des Arts,True,True,True,True,True,False,True,True
partner,Frankreich/Champagne/Louis Roederer,True,True,True,True,True,False,True,True
partner,Frankreich/Cognac/Pont des Arts,True,True,True,True,True,False,True,True
partner,Frankreich/Gascogne/Pont des Arts,True,True,True,True,True,False,True,True
partner,Österreich/Tirol/MagnuMaster,True,True,True,True,False,False,True,True
partner,Österreich/Steiermark/Hannes Sabathi,True,True,True,True,False,False,True,True
partner,Österreich/Steiermark/Weingut Wohlmuth,True,True,True,True,True,False,True,True
partner,Österreich/Burgenland/Keringer Massiv Wine,True,True,True,True,True,False,True,True
partner,Österreich/Burgenland/Kracher Weinlaubenhof,True,True,True,True,True,False,True,True
partner,Österreich/Burgenland/Gernot Heinrich,True,True,True,True,True,False,True,True
partner,Österreich/Burgenland/Reunion,True,True,True,True,False,False,True,True
partner,Kroatien/Istrien/Chiavalon,True,True,True,True,True,False,True,True
partner,Slowenien/Primorska - Adria-Küstenland/TILIA Estate,True,True,True,True,True,True,True,True
partner,Japan/Chubu/Pont des Arts,True,True,True,True,True,True,True,True
partner,Chile/Valle de Aconcagua/Seña,True,True,True,True,True,True,True,True
partner,Chile/Valle del Huasco/Tara,True,True,True,True,True,True,True,False
partner,Chile/Valle del Huasco/Ilegal Malted Wine,True,True,True,True,False,False,True,False
partner,Chile/Valle de Colchagua/Vina Ventisquero,True,False,True,True,True,True,True,False
